0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
REKAP PAYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Tanggal,,Keterangan,,,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,
1,465,Ongkos Angkut AMP LPG/25 - 28 Nov 2025,,,,38750000,,,,,,,,,,,,,,,,,,,,,,,,
,,PPh 23 ,,8002500392404532.0,01/12/2025,-775000,,,,,,,,,,,,,,,,,,,,,,,,
,,SUSUT AMP/413 L,,,,-6256950,,,,,,,,,,,,,,,,,,,,,,,,
2,468,Ongkos Angkut AMP LPG/28-29 Nov 2025,,,,15500000,,,,,,,,,,,,,,,,,,,,,,,,
,,PPh 23 ,,8002500394740386.0,02/12/2025,-310000,,,,,,,,,,,,,,,,,,,,,,,,
,,SUSUT AMP/251 L,,,,-3802650,,,,,,,,,,,,,,,,,,,,,,,,
3,471,Ongkos Angkut AMP LPG/29 Nov - 5 DES 2025,,,,54250000,,,,,,,,,,,,,,,,,,,,,,,,
,,PPh 23 ,,8002500402315913.0,08/12/2025,-1085000,,,,,,,,,,,,,,,,,,,,,,,,
,,SUSUT AMP/88 L,,,,-1333200,,,,,,,,,,,,,,,,,,,,,,,,
,,SUSUT AMP/595 L,,,,-8954750,,,,,,,,,,,,,,,,,,,,,,,,
4,477,Ongkos Angkut AMP LPG/07 DES 2025,,,,31000000,,,,,,,,,,,,,,,,,,,,,,,,
,,PPh 23 ,,8002500408049127.0,10/12/2025,-620000,,,,,,,,,,,,,,,,,,,,,,,,
,,SUSUT AMP/449 L,,,,-6757450,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,109605000,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terlampir bukti-bukti pendukung pembayaran ini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohon Transfer ke:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO Rek:,013001002256309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a/n ,PT. HIJAU SEJAHTERA BERSAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayar tgl : 12 Januari 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Tanggal,,Keterangan,,,Jumlah,,No,Tanggal,,Keterangan,,,Jumlah,,No,Tanggal,,Keterangan,,,Jumlah,,No,Tanggal,,Keterangan,,,Jumlah
1,479,Ongkos Angkut AMP LPG/05 - 09 Des 2025,,,,46500000,,1,008,Ongkos Angkut AMP LPG/31 Des 2025,,,,31000000,,1,017,Ongkos Angkut AMP LPG/14 Jan 2026,,,,7750000,,1,024,Ongkos Angkut AMP/WMK LPG/27-28 JAN 2026,,,,48750000
,,PPh 23 ,,8002500410919941.0,12/12/2025,-930000,,,,PPh 23 ,,8002600002426461.0,08/01/2026,-620000,,,,PPh 23 ,,8002600010640907.0,20/01/2026,-155000,,,,PPh 23 ,,8002600028146557.0,03/02/2026,-975000
